datetime,portfolio_value,cash,price
2023-11-23,150609.7085485638,114069.30753181707,37431.32
2023-11-24,150346.57910170237,73067.45156818401,37292.34
2023-11-25,151091.04974016146,100839.68666529571,37716.78
2023-11-26,151169.8573193312,100839.68666529571,37775.93
2023-11-27,150607.2391653772,82616.77235070322,37456.12
2023-11-28,150088.94082360013,94226.11371850809,37245.05
2023-11-29,150808.58964139863,85742.1161890206,37822.1
2023-11-30,150859.18453127082,85742.1161890206,37851.51
2023-12-01,150508.56650408386,92377.37110063618,37738.91
2023-12-02,151828.46460138698,87422.13326118654,38693.98
2023-12-03,153078.54130487205,87422.13326118654,39445.0
2023-12-05,156904.98030594975,68711.50656969943,41887.4
2023-12-06,161369.31524743853,161369.31524743853,44047.94
2023-12-07,161369.31524743853,161369.31524743853,43773.48
2023-12-08,161369.31524743853,161369.31524743853,43292.02
2023-12-09,161369.31524743853,161369.31524743853,44204.78
2023-12-10,161369.31524743853,161369.31524743853,43726.01
2023-12-17,161369.31524743853,161369.31524743853,42265.59
2023-12-19,161151.70448199767,50453.73457592399,42637.99
2023-12-20,160188.06230538388,50453.73457592399,42266.82
2023-12-21,163658.22938989504,163658.22938989504,43634.01
2023-12-22,163658.22938989504,163658.22938989504,43861.79
2023-12-23,163658.22938989504,163658.22938989504,43974.2
2023-12-24,163521.43003713893,52941.50697079727,43694.57
2023-12-25,161578.99085864078,161578.99085864078,42976.36
2023-12-26,161578.99085864078,161578.99085864078,43588.53
2023-12-27,161431.165147834,54265.84530411233,42514.07
2023-12-28,163572.9264156955,163572.9264156955,43400.01
2023-12-29,163491.8443641385,54322.87178200971,42595.99
2023-12-30,161937.10117393115,125467.54002198664,42054.03
2023-12-31,161903.26821573754,76354.14244537074,42167.99
2024-01-01,161957.04713770052,109875.39981793961,42298.61
2024-01-02,164096.4663232847,86068.01965705205,44174.3
2024-01-03,165554.96342255527,86068.01965705205,45000.0
2024-01-04,161635.3448985365,161635.3448985365,42808.27
2024-01-05,161635.3448985365,161635.3448985365,44176.56
2024-01-06,161635.3448985365,161635.3448985365,44127.96
2024-01-07,161635.3448985365,161635.3448985365,43971.1
2024-01-08,161635.3448985365,161635.3448985365,43896.79
2024-01-09,161635.3448985365,161635.3448985365,46952.17
2024-01-10,161635.3448985365,161635.3448985365,46088.01
2024-01-11,161635.3448985365,161635.3448985365,46572.0
2024-01-12,161635.3448985365,161635.3448985365,46319.62
2024-01-13,161635.3448985365,161635.3448985365,42815.99
2024-01-15,161635.3448985365,161635.3448985365,41755.38
2024-01-16,161635.3448985365,161635.3448985365,42530.01
2024-01-17,161635.3448985365,161635.3448985365,43155.22
2024-01-20,161635.3448985365,161635.3448985365,41668.45
2024-01-21,161541.37485285854,77768.99521082154,41690.98
2024-01-22,161165.4974915141,120971.51297448028,41597.47
2024-01-23,159096.2101263441,99451.7107512398,39593.55
2024-01-24,159394.54882158892,107492.96253169254,39889.91
2024-01-25,159613.2411832314,107492.96253169254,40057.99
2024-01-26,159353.64748442624,103803.84426137651,39963.35
2024-01-27,161740.6699128214,105500.42511117937,41799.0
2024-01-28,162047.80398480548,106964.37356828272,42131.11
2024-01-29,161869.8236898975,106964.37356828272,41994.98
2024-01-30,163358.4514818445,88404.59468339497,43275.62
2024-01-31,162861.67604091653,88404.59468339497,42988.8
2024-02-01,162056.81379755196,116642.39685639866,42632.86
2024-02-02,162402.1309276415,82215.88841591678,43100.17
2024-02-03,162600.7910947685,82215.88841591678,43206.95
2024-02-04,162074.81375315948,119693.3041715168,42997.63
2024-02-05,161545.44657266582,100136.0258650926,42587.28
2024-02-06,161606.92725052836,109588.56652360676,42708.71
2024-02-07,161955.70991201486,104670.11293170437,43098.97
2024-02-08,163675.92718096322,104670.11293170437,44393.18
2024-02-09,164770.1776795095,109410.15764253541,45327.32
2024-02-10,166979.18895660408,109410.15764253541,47136.0
2024-02-11,167597.69822960836,92185.49736240505,47777.98
2024-02-12,168415.05078610138,92185.49736240505,48295.82
2024-02-13,170874.61526996072,170874.61526996072,49936.1
2024-02-14,170874.61526996072,170874.61526996072,49661.04
2024-02-15,170874.61526996072,170874.61526996072,51786.01
2024-02-16,170874.61526996072,170874.61526996072,51883.26
2024-02-17,170754.94581502225,53999.80684394307,52133.49
2024-02-18,169502.62346725707,133116.47966024285,51659.68
2024-02-19,169711.17591588997,78334.97569382233,52148.77
2024-02-20,169022.93832326366,78334.97569382233,51755.99
2024-02-21,169747.19880995312,115953.09791843483,52267.37
2024-02-22,169300.418740533,115953.09791843483,51833.27
2024-02-23,168583.81716259473,90558.1556467571,51292.61
2024-02-24,167584.63112457766,106643.21572891946,50761.08
2024-02-25,168372.2514540586,94723.19758600518,51553.23
2024-02-26,168623.84257408546,94723.19758600518,51729.34
2024-02-27,172399.51952005315,104536.34816868174,54501.17
2024-02-28,175285.59329001282,71384.21595819373,57021.18
2024-02-29,184849.21942026718,110642.83580934725,62395.27
2024-03-01,183234.770278727,109443.7392193471,61196.0
2024-03-02,184493.4794980178,108582.01288718483,62420.98
2024-03-04,185401.49626649817,108582.01288718483,63167.63
2024-03-05,191270.11189480993,111601.35570362429,68157.84
2024-03-06,185965.0351968761,114917.14712873336,63809.98
2024-03-07,188375.5891129385,188375.5891129385,66043.05
2024-03-08,188375.5891129385,188375.5891129385,66798.05
2024-03-09,188375.5891129385,188375.5891129385,68153.3
2024-03-10,188375.5891129385,188375.5891129385,68340.82
2024-03-11,188375.5891129385,188375.5891129385,68919.99
2024-03-12,188375.5891129385,188375.5891129385,72156.12
2024-03-13,188375.5891129385,188375.5891129385,71451.01
2024-03-14,188375.5891129385,188375.5891129385,73039.79
2024-03-15,188375.5891129385,188375.5891129385,71479.09
2024-03-17,188375.5891129385,188375.5891129385,65583.79
2024-03-18,188375.5891129385,188375.5891129385,68410.0
2024-03-19,188138.7430390929,61597.489240940275,67580.0
2024-03-25,187307.13523568626,145600.591645384,67289.99
2024-03-26,188869.11959172832,188869.11959172832,69904.76
2024-03-27,188869.11959172832,188869.11959172832,69975.16
2024-03-28,188869.11959172832,188869.11959172832,69412.51
2024-03-29,188869.11959172832,188869.11959172832,70746.3
2024-03-30,188869.11959172832,188869.11959172832,69875.57
2024-03-31,188869.11959172832,188869.11959172832,69618.89
2024-04-01,188869.11959172832,188869.11959172832,71186.0
2024-04-02,188869.11959172832,188869.11959172832,69658.6
2024-04-03,188869.11959172832,188869.11959172832,65484.01
2024-04-04,188869.11959172832,188869.11959172832,65949.44
2024-04-05,188869.11959172832,188869.11959172832,68382.77
2024-04-06,188869.11959172832,188869.11959172832,67846.0
2024-04-07,188869.11959172832,188869.11959172832,68920.01
2024-04-08,188869.11959172832,188869.11959172832,69337.98
2024-04-09,188869.11959172832,188869.11959172832,71612.02
2024-04-10,188869.11959172832,188869.11959172832,69128.02
2024-04-11,188869.11959172832,188869.11959172832,70552.51
2024-04-12,188869.11959172832,188869.11959172832,70002.22
2024-04-13,188869.11959172832,188869.11959172832,67068.0
2024-04-14,188759.84785009606,95480.48923472213,63945.53
2024-04-15,191119.871269186,191119.871269186,65521.27
2024-04-16,191119.871269186,191119.871269186,63332.0
2024-04-18,191119.871269186,191119.871269186,61276.27
2024-04-19,191119.871269186,191119.871269186,63402.18
2024-04-20,191119.871269186,191119.871269186,63806.01
2024-04-21,191119.871269186,191119.871269186,64888.0
2024-04-22,191119.871269186,191119.871269186,64943.79
2024-04-23,191119.871269186,191119.871269186,66799.09
2024-04-24,191119.871269186,191119.871269186,66469.99
2024-04-25,191119.871269186,191119.871269186,64227.46
2024-04-26,191119.871269186,191119.871269186,64525.51
2024-04-27,191119.871269186,191119.871269186,63779.25
2024-04-28,191119.871269186,191119.871269186,63484.0
2024-04-29,191119.871269186,191119.871269186,63004.14
2024-04-30,191119.871269186,191119.871269186,63824.29
2024-05-01,191119.871269186,191119.871269186,60742.33
2024-05-02,191034.22881828673,95851.75146290049,58400.0
2024-05-03,191946.74872377748,141732.42535957176,59062.34
2024-05-04,195147.38116971322,141732.42535957176,62826.94
2024-05-05,195998.59157920882,195998.59157920882,63978.3
2024-05-06,195998.59157920882,195998.59157920882,64044.2
2024-05-07,195998.59157920882,195998.59157920882,63149.5
2024-05-08,195893.19006653148,95667.36002227929,62340.01
2024-05-09,193841.03414920025,145209.05357609037,61178.0
2024-05-10,195198.2526289583,117624.2427947228,63094.0
2024-05-11,192394.99491155162,117624.2427947228,60814.0
2024-05-12,192224.96837118643,131305.6195535003,60804.01
